"","Blue","CloudMask","CloudMaskConfidence","Green","ImageDate","ImageName","Lake","NIR","Organization","Red","SWIR1","SWIR2","Sensor","StationID","Dataset"
"1",1295,1,1,1763,1984-05-08,"LT50380321984129","Utah",446,"UTAHDWQ",1418,33,21,"LANDSAT/LT5_SR",4917310,"Estimated"
"2",1509,1,1,1921,1984-05-08,"LT50380321984129","Utah",518,"UTAHDWQ",1588,34,56,"LANDSAT/LT5_SR",4917370,"Estimated"
"3",1342,1,1,1730,1984-05-08,"LT50380321984129","Utah",449,"UTAHDWQ",1445,35,56,"LANDSAT/LT5_SR",4917390,"Estimated"
"4",722,1,1,1054,1984-05-08,"LT50380321984129","Utah",480,"UTAHDWQ",988,56,90,"LANDSAT/LT5_SR",4917450,"Estimated"
"6",1341,1,1,1730,1984-05-08,"LT50380321984129","Utah",414,"UTAHDWQ",1446,57,56,"LANDSAT/LT5_SR",4917520,"Estimated"
"7",580,1,1,967,1984-05-08,"LT50380321984129","Utah",389,"UTAHDWQ",740,84,23,"LANDSAT/LT5_SR",4917600,"Estimated"
"8",896,1,1,1410,1984-05-08,"LT50380321984129","Utah",379,"UTAHDWQ",1217,34,21,"LANDSAT/LT5_SR",4917770,"Estimated"
"9",1310,1,1,1705,1984-06-09,"LT50380321984161","Utah",506,"UTAHDWQ",1353,84,48,"LANDSAT/LT5_SR",4917310,"Estimated"
"10",1622,1,1,2027,1984-06-09,"LT50380321984161","Utah",582,"UTAHDWQ",1584,156,151,"LANDSAT/LT5_SR",4917370,"Estimated"
"11",1286,1,1,1698,1984-06-09,"LT50380321984161","Utah",384,"UTAHDWQ",1325,46,51,"LANDSAT/LT5_SR",4917390,"Estimated"
"12",852,1,1,1214,1984-06-09,"LT50380321984161","Utah",486,"UTAHDWQ",1153,69,51,"LANDSAT/LT5_SR",4917450,"Estimated"
"13",1564,1,1,1959,1984-06-09,"LT50380321984161","Utah",486,"UTAHDWQ",1497,68,85,"LANDSAT/LT5_SR",4917500,"Estimated"
"15",1272,1,1,1701,1984-06-09,"LT50380321984161","Utah",691,"UTAHDWQ",1497,159,84,"LANDSAT/LT5_SR",4917600,"Estimated"
"16",914,1,1,1343,1984-06-09,"LT50380321984161","Utah",485,"UTAHDWQ",1296,45,51,"LANDSAT/LT5_SR",4917770,"Estimated"
"26",753,1,1,1072,1984-09-22,"LT50370321984266","Utah",729,"UTAHDWQ",991,39,24,"LANDSAT/LT5_SR",4917450,"Estimated"
"27",994,1,1,1389,1985-06-12,"LT50380321985163","Utah",330,"UTAHDWQ",1007,29,19,"LANDSAT/LT5_SR",4917310,"Estimated"
"28",1165,1,1,1543,1985-06-12,"LT50380321985163","Utah",305,"UTAHDWQ",1094,33,54,"LANDSAT/LT5_SR",4917370,"Estimated"
"29",979,1,1,1358,1985-06-12,"LT50380321985163","Utah",313,"UTAHDWQ",1096,60,22,"LANDSAT/LT5_SR",4917390,"Estimated"
"30",587,1,1,829,1985-06-12,"LT50380321985163","Utah",306,"UTAHDWQ",679,11,55,"LANDSAT/LT5_SR",4917450,"Estimated"
"32",1308,1,1,1733,1985-06-12,"LT50380321985163","Utah",537,"UTAHDWQ",1398,166,156,"LANDSAT/LT5_SR",4917520,"Estimated"
"33",1128,1,1,1573,1985-06-12,"LT50380321985163","Utah",483,"UTAHDWQ",1343,128,124,"LANDSAT/LT5_SR",4917600,"Estimated"
"37",1134,1,1,1558,1985-06-28,"LT50380321985179","Utah",385,"UTAHDWQ",1122,68,85,"LANDSAT/LT5_SR",4917390,"Estimated"
"38",737,1,1,1045,1985-06-28,"LT50380321985179","Utah",597,"UTAHDWQ",1039,49,86,"LANDSAT/LT5_SR",4917450,"Estimated"
"42",638,1,1,1075,1985-06-28,"LT50380321985179","Utah",561,"UTAHDWQ",837,69,85,"LANDSAT/LT5_SR",4917770,"Estimated"
"43",559,1,1,974,1985-07-14,"LT50380321985195","Utah",625,"UTAHDWQ",599,51,19,"LANDSAT/LT5_SR",4917310,"Estimated"
"44",1235,1,1,1656,1985-07-14,"LT50380321985195","Utah",487,"UTAHDWQ",1296,54,56,"LANDSAT/LT5_SR",4917370,"Estimated"
"45",828,1,1,1236,1985-07-14,"LT50380321985195","Utah",518,"UTAHDWQ",862,52,55,"LANDSAT/LT5_SR",4917390,"Estimated"
"46",592,1,1,910,1985-07-14,"LT50380321985195","Utah",876,"UTAHDWQ",775,76,55,"LANDSAT/LT5_SR",4917450,"Estimated"
"47",1213,1,1,1625,1985-07-14,"LT50380321985195","Utah",422,"UTAHDWQ",1241,57,92,"LANDSAT/LT5_SR",4917500,"Estimated"
"48",1306,1,1,1728,1985-07-14,"LT50380321985195","Utah",581,"UTAHDWQ",1382,95,124,"LANDSAT/LT5_SR",4917520,"Estimated"
"49",650,0,1,1025,1985-07-14,"LT50380321985195","Utah",920,"UTAHDWQ",708,38,59,"LANDSAT/LT5_SR",4917600,"Estimated"
"50",764,1,1,1269,1985-07-14,"LT50380321985195","Utah",553,"UTAHDWQ",977,51,19,"LANDSAT/LT5_SR",4917770,"Estimated"
"51",1234,1,1,1751,1985-07-30,"LT50380321985211","Utah",820,"UTAHDWQ",1453,318,272,"LANDSAT/LT5_SR",4917310,"Estimated"
"52",1410,1,1,1849,1985-07-30,"LT50380321985211","Utah",674,"UTAHDWQ",1631,198,164,"LANDSAT/LT5_SR",4917370,"Estimated"
"53",1154,1,1,1749,1985-07-30,"LT50380321985211","Utah",712,"UTAHDWQ",1334,173,127,"LANDSAT/LT5_SR",4917390,"Estimated"
"54",998,1,1,1281,1985-07-30,"LT50380321985211","Utah",1077,"UTAHDWQ",1275,368,344,"LANDSAT/LT5_SR",4917450,"Estimated"
"55",1294,1,1,1743,1985-07-30,"LT50380321985211","Utah",506,"UTAHDWQ",1394,35,58,"LANDSAT/LT5_SR",4917500,"Estimated"
"56",1393,1,1,1884,1985-07-30,"LT50380321985211","Utah",748,"UTAHDWQ",1572,197,163,"LANDSAT/LT5_SR",4917520,"Estimated"
"57",960,1,1,1351,1985-07-30,"LT50380321985211","Utah",1010,"UTAHDWQ",1134,254,274,"LANDSAT/LT5_SR",4917600,"Estimated"
"58",984,1,1,1480,1985-07-30,"LT50380321985211","Utah",861,"UTAHDWQ",1334,248,201,"LANDSAT/LT5_SR",4917770,"Estimated"
"59",399,0,1,786,1985-08-15,"LT50380321985227","Utah",586,"UTAHDWQ",441,58,21,"LANDSAT/LT5_SR",4917310,"Estimated"
"60",1136,1,1,1571,1985-08-15,"LT50380321985227","Utah",525,"UTAHDWQ",1235,42,25,"LANDSAT/LT5_SR",4917370,"Estimated"
"61",989,1,1,1439,1985-08-15,"LT50380321985227","Utah",411,"UTAHDWQ",1145,87,60,"LANDSAT/LT5_SR",4917390,"Estimated"
"63",1062,1,1,1474,1985-08-15,"LT50380321985227","Utah",452,"UTAHDWQ",1117,41,61,"LANDSAT/LT5_SR",4917500,"Estimated"
"64",1021,1,1,1439,1985-08-15,"LT50380321985227","Utah",484,"UTAHDWQ",1085,63,97,"LANDSAT/LT5_SR",4917520,"Estimated"
"65",803,1,1,1206,1985-08-15,"LT50380321985227","Utah",596,"UTAHDWQ",1027,40,61,"LANDSAT/LT5_SR",4917600,"Estimated"
"67",610,1,1,1057,1985-08-31,"LT50380321985243","Utah",597,"UTAHDWQ",667,65,24,"LANDSAT/LT5_SR",4917310,"Estimated"
"68",847,1,1,1273,1985-08-31,"LT50380321985243","Utah",644,"UTAHDWQ",959,45,65,"LANDSAT/LT5_SR",4917370,"Estimated"
"69",885,1,1,1307,1985-08-31,"LT50380321985243","Utah",439,"UTAHDWQ",1081,65,24,"LANDSAT/LT5_SR",4917390,"Estimated"
"70",678,1,1,949,1985-08-31,"LT50380321985243","Utah",479,"UTAHDWQ",954,40,63,"LANDSAT/LT5_SR",4917450,"Estimated"
"72",495,0,1,981,1985-08-31,"LT50380321985243","Utah",990,"UTAHDWQ",631,142,62,"LANDSAT/LT5_SR",4917520,"Estimated"
"73",484,0,1,917,1985-08-31,"LT50380321985243","Utah",992,"UTAHDWQ",577,172,64,"LANDSAT/LT5_SR",4917600,"Estimated"
"74",708,1,1,1199,1985-08-31,"LT50380321985243","Utah",595,"UTAHDWQ",1016,64,23,"LANDSAT/LT5_SR",4917770,"Estimated"
"75",1158,1,1,1610,1985-09-16,"LT50380321985259","Utah",635,"UTAHDWQ",1469,73,27,"LANDSAT/LT5_SR",4917310,"Estimated"
"76",999,1,1,1495,1985-09-16,"LT50380321985259","Utah",638,"UTAHDWQ",1134,102,28,"LANDSAT/LT5_SR",4917370,"Estimated"
"77",767,1,1,1344,1985-09-16,"LT50380321985259","Utah",673,"UTAHDWQ",995,70,66,"LANDSAT/LT5_SR",4917390,"Estimated"
"78",578,1,1,927,1985-09-16,"LT50380321985259","Utah",472,"UTAHDWQ",764,46,68,"LANDSAT/LT5_SR",4917450,"Estimated"
"79",1058,1,1,1534,1985-09-16,"LT50380321985259","Utah",557,"UTAHDWQ",1136,75,69,"LANDSAT/LT5_SR",4917500,"Estimated"
"80",614,1,1,1190,1985-09-16,"LT50380321985259","Utah",879,"UTAHDWQ",824,179,108,"LANDSAT/LT5_SR",4917520,"Estimated"
"81",788,1,1,1196,1985-09-16,"LT50380321985259","Utah",680,"UTAHDWQ",968,102,28,"LANDSAT/LT5_SR",4917600,"Estimated"
"82",649,1,1,1079,1985-09-16,"LT50380321985259","Utah",636,"UTAHDWQ",898,73,27,"LANDSAT/LT5_SR",4917770,"Estimated"
"91",1137,1,1,1503,1985-10-18,"LT50380321985291","Utah",529,"UTAHDWQ",1322,90,35,"LANDSAT/LT5_SR",4917310,"Estimated"
"92",1314,1,1,1687,1985-10-18,"LT50380321985291","Utah",382,"UTAHDWQ",1363,58,35,"LANDSAT/LT5_SR",4917370,"Estimated"
"93",1026,1,1,1411,1985-10-18,"LT50380321985291","Utah",333,"UTAHDWQ",1119,58,35,"LANDSAT/LT5_SR",4917390,"Estimated"
"96",1270,1,1,1687,1985-10-18,"LT50380321985291","Utah",529,"UTAHDWQ",1485,25,84,"LANDSAT/LT5_SR",4917520,"Estimated"
"97",854,1,1,1321,1985-10-18,"LT50380321985291","Utah",479,"UTAHDWQ",1120,89,34,"LANDSAT/LT5_SR",4917600,"Estimated"
"103",1646,1,1,2091,1986-05-14,"LT50380321986134","Utah",893,"UTAHDWQ",1897,258,192,"LANDSAT/LT5_SR",4917500,"Estimated"
"105",1030,1,1,1426,1986-05-14,"LT50380321986134","Utah",789,"UTAHDWQ",1280,212,157,"LANDSAT/LT5_SR",4917600,"Estimated"
"107",590,1,1,924,1986-05-23,"LT50370321986143","Utah",454,"UTAHDWQ",843,43,50,"LANDSAT/LT5_SR",4917450,"Estimated"
"109",530,1,1,798,1986-05-30,"LT50380321986150","Utah",189,"UTAHDWQ",476,27,53,"LANDSAT/LT5_SR",4917310,"Estimated"
"112",644,1,1,937,1986-05-30,"LT50380321986150","Utah",341,"UTAHDWQ",829,33,90,"LANDSAT/LT5_SR",4917450,"Estimated"
"113",796,1,1,1226,1986-05-30,"LT50380321986150","Utah",250,"UTAHDWQ",780,15,57,"LANDSAT/LT5_SR",4917500,"Estimated"
"114",982,1,1,1379,1986-05-30,"LT50380321986150","Utah",366,"UTAHDWQ",907,166,157,"LANDSAT/LT5_SR",4917520,"Estimated"
"115",785,1,1,1071,1986-05-30,"LT50380321986150","Utah",318,"UTAHDWQ",837,83,57,"LANDSAT/LT5_SR",4917600,"Estimated"
"116",642,1,1,968,1986-05-30,"LT50380321986150","Utah",340,"UTAHDWQ",828,33,20,"LANDSAT/LT5_SR",4917770,"Estimated"
"119",930,1,1,1347,1986-06-15,"LT50380321986166","Utah",393,"UTAHDWQ",989,71,87,"LANDSAT/LT5_SR",4917310,"Estimated"
"120",1381,1,1,1890,1986-06-15,"LT50380321986166","Utah",540,"UTAHDWQ",1391,236,226,"LANDSAT/LT5_SR",4917370,"Estimated"
"121",1063,1,1,1475,1986-06-15,"LT50380321986166","Utah",438,"UTAHDWQ",1221,99,89,"LANDSAT/LT5_SR",4917390,"Estimated"
"122",628,1,1,930,1986-06-15,"LT50380321986166","Utah",435,"UTAHDWQ",764,74,88,"LANDSAT/LT5_SR",4917450,"Estimated"
"123",1360,1,1,1822,1986-06-15,"LT50380321986166","Utah",482,"UTAHDWQ",1392,125,90,"LANDSAT/LT5_SR",4917500,"Estimated"
"124",1271,1,1,1702,1986-06-15,"LT50380321986166","Utah",534,"UTAHDWQ",1219,210,190,"LANDSAT/LT5_SR",4917520,"Estimated"
"125",1167,1,1,1570,1986-06-15,"LT50380321986166","Utah",655,"UTAHDWQ",1392,172,124,"LANDSAT/LT5_SR",4917600,"Estimated"
"126",859,1,1,1316,1986-06-15,"LT50380321986166","Utah",470,"UTAHDWQ",1164,74,122,"LANDSAT/LT5_SR",4917770,"Estimated"
"128",554,1,1,1051,1986-07-01,"LT50380321986182","Utah",558,"UTAHDWQ",615,81,90,"LANDSAT/LT5_SR",4917310,"Estimated"
"129",807,1,1,1306,1986-07-01,"LT50380321986182","Utah",493,"UTAHDWQ",818,38,23,"LANDSAT/LT5_SR",4917370,"Estimated"
"130",1057,1,1,1528,1986-07-01,"LT50380321986182","Utah",454,"UTAHDWQ",1153,35,57,"LANDSAT/LT5_SR",4917390,"Estimated"
"131",620,1,1,989,1986-07-01,"LT50380321986182","Utah",628,"UTAHDWQ",788,106,23,"LANDSAT/LT5_SR",4917450,"Estimated"
"132",812,1,1,1307,1986-07-01,"LT50380321986182","Utah",495,"UTAHDWQ",848,61,92,"LANDSAT/LT5_SR",4917500,"Estimated"
"133",595,1,1,1049,1986-07-01,"LT50380321986182","Utah",521,"UTAHDWQ",641,33,21,"LANDSAT/LT5_SR",4917520,"Estimated"
"134",706,1,1,1118,1986-07-01,"LT50380321986182","Utah",769,"UTAHDWQ",820,108,92,"LANDSAT/LT5_SR",4917600,"Estimated"
"135",680,1,1,1179,1986-07-01,"LT50380321986182","Utah",525,"UTAHDWQ",872,82,57,"LANDSAT/LT5_SR",4917770,"Estimated"
"136",551,1,1,984,1986-07-10,"LT50370321986191","Utah",665,"UTAHDWQ",781,51,19,"LANDSAT/LT5_SR",4917450,"Estimated"
"137",1022,1,1,1490,1986-07-17,"LT50380321986198","Utah",857,"UTAHDWQ",1146,153,129,"LANDSAT/LT5_SR",4917310,"Estimated"
"138",971,1,1,1393,1986-07-17,"LT50380321986198","Utah",721,"UTAHDWQ",1034,87,95,"LANDSAT/LT5_SR",4917370,"Estimated"
"139",744,1,1,1232,1986-07-17,"LT50380321986198","Utah",750,"UTAHDWQ",887,83,58,"LANDSAT/LT5_SR",4917390,"Estimated"
"140",445,0,1,808,1986-07-17,"LT50380321986198","Utah",1711,"UTAHDWQ",538,225,129,"LANDSAT/LT5_SR",4917450,"Estimated"
"141",1292,1,1,1744,1986-07-17,"LT50380321986198","Utah",826,"UTAHDWQ",1491,135,95,"LANDSAT/LT5_SR",4917500,"Estimated"
"142",605,0,1,1064,1986-07-17,"LT50380321986198","Utah",962,"UTAHDWQ",706,127,92,"LANDSAT/LT5_SR",4917520,"Estimated"
"143",955,1,1,1330,1986-07-17,"LT50380321986198","Utah",647,"UTAHDWQ",1120,86,94,"LANDSAT/LT5_SR",4917600,"Estimated"
"144",432,0,1,809,1986-07-17,"LT50380321986198","Utah",1534,"UTAHDWQ",539,226,58,"LANDSAT/LT5_SR",4917770,"Estimated"
"146",531,1,1,995,1986-08-02,"LT50380321986214","Utah",381,"UTAHDWQ",595,75,18,"LANDSAT/LT5_SR",4917310,"Estimated"
"147",845,1,1,1343,1986-08-02,"LT50380321986214","Utah",427,"UTAHDWQ",938,29,56,"LANDSAT/LT5_SR",4917370,"Estimated"
"148",827,1,1,1308,1986-08-02,"LT50380321986214","Utah",388,"UTAHDWQ",908,53,19,"LANDSAT/LT5_SR",4917390,"Estimated"
"149",651,1,1,1029,1986-08-02,"LT50380321986214","Utah",868,"UTAHDWQ",812,223,165,"LANDSAT/LT5_SR",4917450,"Estimated"
"150",811,1,1,1206,1986-08-02,"LT50380321986214","Utah",572,"UTAHDWQ",877,249,202,"LANDSAT/LT5_SR",4917500,"Estimated"
"151",531,1,1,1029,1986-08-02,"LT50380321986214","Utah",419,"UTAHDWQ",595,50,18,"LANDSAT/LT5_SR",4917520,"Estimated"
"152",774,1,1,1141,1986-08-02,"LT50380321986214","Utah",579,"UTAHDWQ",913,154,131,"LANDSAT/LT5_SR",4917600,"Estimated"
"153",866,1,1,1237,1986-08-02,"LT50380321986214","Utah",717,"UTAHDWQ",964,321,239,"LANDSAT/LT5_SR",4917770,"Estimated"
"154",633,1,1,1122,1986-08-18,"LT50380321986230","Utah",337,"UTAHDWQ",670,34,22,"LANDSAT/LT5_SR",4917310,"Estimated"
"155",713,1,1,1197,1986-08-18,"LT50380321986230","Utah",393,"UTAHDWQ",747,17,26,"LANDSAT/LT5_SR",4917370,"Estimated"
"156",666,1,1,1160,1986-08-18,"LT50380321986230","Utah",385,"UTAHDWQ",771,39,24,"LANDSAT/LT5_SR",4917390,"Estimated"
"157",638,1,1,1018,1986-08-18,"LT50380321986230","Utah",647,"UTAHDWQ",922,61,60,"LANDSAT/LT5_SR",4917450,"Estimated"
"158",896,1,1,1302,1986-08-18,"LT50380321986230","Utah",315,"UTAHDWQ",930,41,62,"LANDSAT/LT5_SR",4917500,"Estimated"
"159",990,1,1,1473,1986-08-18,"LT50380321986230","Utah",413,"UTAHDWQ",1046,59,59,"LANDSAT/LT5_SR",4917520,"Estimated"
"160",651,1,1,1023,1986-08-18,"LT50380321986230","Utah",725,"UTAHDWQ",770,88,99,"LANDSAT/LT5_SR",4917600,"Estimated"
"162",385,0,1,796,1986-09-03,"LT50380321986246","Utah",967,"UTAHDWQ",456,66,24,"LANDSAT/LT5_SR",4917310,"Estimated"
"163",972,1,1,1462,1986-09-03,"LT50380321986246","Utah",654,"UTAHDWQ",1118,45,27,"LANDSAT/LT5_SR",4917370,"Estimated"
"165",495,0,1,880,1986-09-03,"LT50380321986246","Utah",930,"UTAHDWQ",598,70,66,"LANDSAT/LT5_SR",4917450,"Estimated"
"166",719,1,1,1140,1986-09-03,"LT50380321986246","Utah",418,"UTAHDWQ",734,19,27,"LANDSAT/LT5_SR",4917500,"Estimated"
"167",811,1,1,1280,1986-09-03,"LT50380321986246","Utah",442,"UTAHDWQ",917,37,23,"LANDSAT/LT5_SR",4917520,"Estimated"
"169",636,1,1,1099,1986-09-03,"LT50380321986246","Utah",691,"UTAHDWQ",859,70,105,"LANDSAT/LT5_SR",4917770,"Estimated"
"178",1116,1,1,1476,1986-10-05,"LT50380321986278","Utah",526,"UTAHDWQ",1265,45,27,"LANDSAT/LT5_SR",4917310,"Estimated"
"180",1266,1,1,1652,1986-10-05,"LT50380321986278","Utah",481,"UTAHDWQ",1420,46,75,"LANDSAT/LT5_SR",4917390,"Estimated"
"183",1178,1,1,1610,1986-10-05,"LT50380321986278","Utah",525,"UTAHDWQ",1381,13,75,"LANDSAT/LT5_SR",4917520,"Estimated"
"185",931,1,1,1299,1986-10-05,"LT50380321986278","Utah",438,"UTAHDWQ",1149,17,29,"LANDSAT/LT5_SR",4917770,"Estimated"
"193",1068,1,1,1340,1986-10-21,"LT50380321986294","Utah",745,"UTAHDWQ",1075,330,243,"LANDSAT/LT5_SR",4917600,"Estimated"
"198",1669,1,1,2169,1987-05-01,"LT50380321987121","Utah",729,"UTAHDWQ",1933,57,82,"LANDSAT/LT5_SR",4917390,"Estimated"
"199",1027,0,1,1327,1987-05-01,"LT50380321987121","Utah",1120,"UTAHDWQ",1388,81,82,"LANDSAT/LT5_SR",4917450,"Estimated"
"203",1439,1,1,1953,1987-05-01,"LT50380321987121","Utah",923,"UTAHDWQ",1808,182,157,"LANDSAT/LT5_SR",4917770,"Estimated"
"204",1299,1,1,1756,1987-06-02,"LT50380321987153","Utah",467,"UTAHDWQ",1386,29,53,"LANDSAT/LT5_SR",4917310,"Estimated"
"205",1314,1,1,1787,1987-06-02,"LT50380321987153","Utah",432,"UTAHDWQ",1442,29,19,"LANDSAT/LT5_SR",4917370,"Estimated"
"206",801,1,1,1344,1987-06-02,"LT50380321987153","Utah",401,"UTAHDWQ",936,31,54,"LANDSAT/LT5_SR",4917390,"Estimated"
"207",671,1,1,992,1987-06-02,"LT50380321987153","Utah",568,"UTAHDWQ",877,52,18,"LANDSAT/LT5_SR",4917450,"Estimated"
"208",1410,1,1,1883,1987-06-02,"LT50380321987153","Utah",571,"UTAHDWQ",1555,121,122,"LANDSAT/LT5_SR",4917500,"Estimated"
"209",1386,1,1,1858,1987-06-02,"LT50380321987153","Utah",525,"UTAHDWQ",1472,91,120,"LANDSAT/LT5_SR",4917520,"Estimated"
"210",1039,1,1,1471,1987-06-02,"LT50380321987153","Utah",679,"UTAHDWQ",1331,35,21,"LANDSAT/LT5_SR",4917600,"Estimated"
"211",710,1,1,1117,1987-06-02,"LT50380321987153","Utah",530,"UTAHDWQ",873,26,17,"LANDSAT/LT5_SR",4917770,"Estimated"
"212",1025,1,1,1510,1987-06-18,"LT50380321987169","Utah",648,"UTAHDWQ",1167,171,124,"LANDSAT/LT5_SR",4917310,"Estimated"
"213",1365,1,1,1887,1987-06-18,"LT50380321987169","Utah",680,"UTAHDWQ",1558,193,191,"LANDSAT/LT5_SR",4917370,"Estimated"
"214",1200,1,1,1606,1987-06-18,"LT50380321987169","Utah",644,"UTAHDWQ",1363,213,157,"LANDSAT/LT5_SR",4917390,"Estimated"
"215",719,1,1,1037,1987-06-18,"LT50380321987169","Utah",679,"UTAHDWQ",942,124,88,"LANDSAT/LT5_SR",4917450,"Estimated"
"216",1426,1,1,1888,1987-06-18,"LT50380321987169","Utah",646,"UTAHDWQ",1530,215,191,"LANDSAT/LT5_SR",4917500,"Estimated"
"217",1319,1,1,1829,1987-06-18,"LT50380321987169","Utah",813,"UTAHDWQ",1475,258,259,"LANDSAT/LT5_SR",4917520,"Estimated"
"218",1016,1,1,1389,1987-06-18,"LT50380321987169","Utah",783,"UTAHDWQ",1309,125,89,"LANDSAT/LT5_SR",4917600,"Estimated"
"219",945,1,1,1417,1987-06-18,"LT50380321987169","Utah",542,"UTAHDWQ",1250,55,55,"LANDSAT/LT5_SR",4917770,"Estimated"
"231",732,1,1,1064,1987-08-05,"LT50380321987217","Utah",843,"UTAHDWQ",998,32,57,"LANDSAT/LT5_SR",4917450,"Estimated"
"232",1080,1,1,1569,1987-08-05,"LT50380321987217","Utah",625,"UTAHDWQ",1179,182,132,"LANDSAT/LT5_SR",4917500,"Estimated"
"234",1020,0,1,1438,1987-08-05,"LT50380321987217","Utah",1215,"UTAHDWQ",1270,181,95,"LANDSAT/LT5_SR",4917600,"Estimated"
"235",910,1,1,1435,1987-08-05,"LT50380321987217","Utah",843,"UTAHDWQ",1267,56,94,"LANDSAT/LT5_SR",4917770,"Estimated"
"244",1292,0,1,1545,1987-09-06,"LT50380321987249","Utah",1199,"UTAHDWQ",1098,132,41,"LANDSAT/LT5_SR",4917310,"Estimated"
"245",1685,0,1,2039,1987-09-06,"LT50380321987249","Utah",1150,"UTAHDWQ",1717,128,40,"LANDSAT/LT5_SR",4917370,"Estimated"
"246",1523,1,1,1817,1987-09-06,"LT50380321987249","Utah",1051,"UTAHDWQ",1401,124,37,"LANDSAT/LT5_SR",4917390,"Estimated"
"248",1371,0,1,1729,1987-09-06,"LT50380321987249","Utah",1091,"UTAHDWQ",1272,174,76,"LANDSAT/LT5_SR",4917500,"Estimated"
"249",1685,0,1,1994,1987-09-06,"LT50380321987249","Utah",1104,"UTAHDWQ",1639,128,83,"LANDSAT/LT5_SR",4917520,"Estimated"
"250",1481,0,1,1728,1987-09-06,"LT50380321987249","Utah",1430,"UTAHDWQ",1432,139,74,"LANDSAT/LT5_SR",4917600,"Estimated"
"251",1501,0,1,1632,1987-09-06,"LT50380321987249","Utah",1099,"UTAHDWQ",1482,94,37,"LANDSAT/LT5_SR",4917770,"Estimated"
"252",772,1,1,1304,1987-09-22,"LT50380321987265","Utah",683,"UTAHDWQ",1023,97,25,"LANDSAT/LT5_SR",4917310,"Estimated"
"253",1205,1,1,1653,1987-09-22,"LT50380321987265","Utah",483,"UTAHDWQ",1373,47,29,"LANDSAT/LT5_SR",4917370,"Estimated"
"254",921,1,1,1423,1987-09-22,"LT50380321987265","Utah",564,"UTAHDWQ",1131,17,28,"LANDSAT/LT5_SR",4917390,"Estimated"
"255",699,1,1,1033,1987-09-22,"LT50380321987265","Utah",649,"UTAHDWQ",891,18,70,"LANDSAT/LT5_SR",4917450,"Estimated"
"257",645,1,1,1228,1987-09-22,"LT50380321987265","Utah",775,"UTAHDWQ",857,104,70,"LANDSAT/LT5_SR",4917520,"Estimated"
"258",930,1,1,1348,1987-09-22,"LT50380321987265","Utah",983,"UTAHDWQ",1237,102,28,"LANDSAT/LT5_SR",4917600,"Estimated"
"259",601,1,1,1189,1987-09-22,"LT50380321987265","Utah",774,"UTAHDWQ",890,102,69,"LANDSAT/LT5_SR",4917770,"Estimated"
"268",1405,1,1,1878,1988-05-03,"LT50380321988124","Utah",539,"UTAHDWQ",1530,69,87,"LANDSAT/LT5_SR",4917310,"Estimated"
"269",1455,1,1,1900,1988-05-03,"LT50380321988124","Utah",514,"UTAHDWQ",1556,99,53,"LANDSAT/LT5_SR",4917370,"Estimated"
"270",1437,1,1,1807,1988-05-03,"LT50380321988124","Utah",577,"UTAHDWQ",1499,141,122,"LANDSAT/LT5_SR",4917390,"Estimated"
"271",919,1,1,1233,1988-05-03,"LT50380321988124","Utah",899,"UTAHDWQ",1231,188,193,"LANDSAT/LT5_SR",4917450,"Estimated"
"272",1317,1,1,1734,1988-05-03,"LT50380321988124","Utah",517,"UTAHDWQ",1467,100,90,"LANDSAT/LT5_SR",4917500,"Estimated"
"273",1434,1,1,1852,1988-05-03,"LT50380321988124","Utah",637,"UTAHDWQ",1533,206,156,"LANDSAT/LT5_SR",4917520,"Estimated"
"275",1228,1,1,1606,1988-05-03,"LT50380321988124","Utah",793,"UTAHDWQ",1499,165,194,"LANDSAT/LT5_SR",4917770,"Estimated"
"276",1621,1,1,2056,1988-05-19,"LT50380321988140","Utah",982,"UTAHDWQ",1901,347,361,"LANDSAT/LT5_SR",4917310,"Estimated"
"277",1646,1,1,2072,1988-05-19,"LT50380321988140","Utah",918,"UTAHDWQ",1917,284,259,"LANDSAT/LT5_SR",4917370,"Estimated"
"278",1654,1,1,2098,1988-05-19,"LT50380321988140","Utah",1013,"UTAHDWQ",1966,322,292,"LANDSAT/LT5_SR",4917390,"Estimated"
"279",1091,0,1,1416,1988-05-19,"LT50380321988140","Utah",1396,"UTAHDWQ",1508,366,361,"LANDSAT/LT5_SR",4917450,"Estimated"
"280",1667,1,1,2022,1988-05-19,"LT50380321988140","Utah",812,"UTAHDWQ",1871,257,225,"LANDSAT/LT5_SR",4917500,"Estimated"
"281",1545,1,1,1969,1988-05-19,"LT50380321988140","Utah",699,"UTAHDWQ",1679,229,223,"LANDSAT/LT5_SR",4917520,"Estimated"
"282",1269,1,1,1778,1988-05-19,"LT50380321988140","Utah",838,"UTAHDWQ",1594,183,188,"LANDSAT/LT5_SR",4917600,"Estimated"
"283",1293,0,1,1680,1988-05-19,"LT50380321988140","Utah",1116,"UTAHDWQ",1711,342,326,"LANDSAT/LT5_SR",4917770,"Estimated"
"284",961,1,1,1293,1988-06-04,"LT50380321988156","Utah",236,"UTAHDWQ",706,56,89,"LANDSAT/LT5_SR",4917310,"Estimated"
"285",1065,1,1,1356,1988-06-04,"LT50380321988156","Utah",202,"UTAHDWQ",816,11,54,"LANDSAT/LT5_SR",4917370,"Estimated"
